"Genera","sp_id","PaH","PaL","AeH","AeL","VcL","VcaH","SeL","VuL","TeH","VoL"
"Monomorium","M.termitobium03",1,0.921745520785264,1.50023734038412,1.12246407113343,1.28057468491979,2.62571700237937,1.060807121823,3.44412295032483,2.60107349319416,1.54946381225069
"Monomorium","M.termitobium03",1,0.930813990493394,1.54132348330296,1.15132888047982,1.25898991947351,2.93486713806862,1.02553401483826,3.85513445053063,2.67911675546719,1.56642033272343
"Monomorium","M.termitobium03",1,0.733075541497484,1.40110320165287,0.842423840916535,1.05664775000322,2.50978044599207,0.888296582856107,3.01098518704911,2.06222468334492,1.23148998121579
"Monomorium","M.pharaonis",1,0.837115709742836,2.00242354607331,2.09253932511608,2.2804409707169,4.24136219251232,1.98340509371233,3.42229177363129,4.56222166100347,1.78963841701881
"Monomorium","M.pharaonis",1,0.894696744571168,2.1849848407725,1.90044467238261,2.01742561892386,4.43330148025726,1.89965580123168,3.69941618700578,3.92295528887282,1.76527319918951
"Monomorium","M.pharaonis",1,0.887863916374595,2.52898062289538,2.02269800872926,2.12852179404237,4.65022679016914,1.98941151810386,4.04684883494611,3.83470441452055,1.77123393236997
"Monomorium","M.pharaonis",1,0.83011382504939,2.16595662851475,1.72322027869924,2.12888664390324,3.8280452351577,2.18491440653213,3.60875460318317,4.52824899773853,1.79442130771591
"Monomorium","M.MG01",1,0.71956896778472,1.37858894661242,0.912994944495284,1.14843288766085,2.89491805458885,0.882291338694292,2.86038270770998,1.82175606073977,1.36299788203085
"Monomorium","M.MG01",1,0.832897096245094,1.38714056625843,1.04599573442552,1.2557209316318,2.88589872545849,1.01605929631997,3.18543642178888,2.45116818652932,1.26120983150466
"Monomorium","M.MG01",1,0.828720270394067,1.41705912951588,0.971332083195095,1.16272397965091,2.65573945771973,0.843435369325977,3.2525566584485,2.46737693117825,1.28216764390071
"Monomorium","M.MG02",1,0.7384463721379,1.23496198170407,0.955777551648788,1.16330692020474,2.71070465997248,0.955867965676134,2.91677472774631,2.16618539660703,1.15758432397178
"Monomorium","M.MG02",1,0.81128525437323,1.36070113111269,1.11466672176021,1.32328442080525,3.49842533800722,1.02204928842619,3.38064146856892,2.30852397260244,1.27536979683487
"Monomorium","M.MG02",1,0.75187353338761,1.3821266289736,0.903969021421172,1.20293392714125,2.76928019559504,0.93137968324808,3.21987452189258,2.54362974918822,1.2793688650566
"Monomorium","M.MG02",1,0.737974544285064,1.26646509021396,0.960860694187059,1.13861882529203,2.54426554400676,0.889950179870338,2.93188692942411,1.83997646097498,0.994314161459077
"Monomorium","M.MG02",1,0.770971137841138,1.31978323993383,0.898205389573155,1.127684572283,2.90985827908583,0.870317002124879,2.90358153509599,1.90201861684549,1.11334800217073
"Monomorium","M.MG02",1,0.846756860701903,1.31703048057657,1.09085322940063,1.17914097099646,2.81032693947653,0.925511231173841,3.391425297198,2.47041806885691,1.32961741447961
"Monomorium","M.MG02",1,0.747561331907653,1.35743941517592,0.94061453464338,1.24894573994477,2.50449363507622,0.938912156834653,3.24877105770065,2.62207456810285,1.24143135678368
"Monomorium","M.MG03",1,0.860212168992364,1.61599499828096,1.05214915585523,1.39147012205543,3.25255304496582,1.00813442349345,3.62586609040509,2.70807826702175,1.03350309685815
"Monomorium","M.MG03",1,0.939115332539956,1.74401815955678,1.28529474135278,1.11547975067473,3.44761714763031,0.982969462874256,3.86635573476098,2.70105077271294,0.999986264236398
"Monomorium","M.termitobium03b",1,0.795753327464952,1.31284132099035,0.922316035704362,1.1283771505946,3.07272481331076,0.909914318780965,3.078422752123,2.79582330146091,1.32223494936062
"Monomorium","M.termitobium03b",1,0.79347134853372,1.43305728834186,0.869564036821713,1.16314444860385,3.52594463519557,0.965994262567682,3.41095128590324,2.50869852048997,1.4454880333374
"Monomorium","M.termitobium03b",1,0.753917176873442,1.20462396304607,0.840441192417453,1.03000635586805,2.93569370988504,0.880436043086394,3.07865122666934,2.06600147014496,1.23095219925875
"Monomorium","M.madecassum",1,1.01260126767382,2.36453598549497,1.72784207926539,2.58223927553016,5.29746563151981,2.58310658159529,3.54574226973513,7.41487141185523,2.23370726830769
"Monomorium","M.madecassum",1,0.971474611592127,2.69801930580615,1.84257062781178,2.6816398503722,4.38500751197404,2.70537194411182,3.58295043994199,6.09981127365305,2.41774585825747
"Monomorium","M.madecassum",1,1.03229540215487,2.37880937069721,2.08661065091296,2.6923770558227,5.37779181842592,2.71305993413017,4.05214115062515,5.84411332335091,2.31644173659676
"Monomorium","M.madecassum",1,0.979542267165196,2.27755258344839,1.94588371492619,2.53516096199898,6.06219180456964,2.58913032940532,3.63938216402291,6.04572921858529,2.38808904074407
"Monomorium","M.madecassum",1,0.98416203490742,2.01388294954936,1.78439781799004,2.47818401868149,5.82644569182813,2.57816727807383,2.78645307147808,6.13752611383666,2.39351780038924
"Monomorium","M.madecassum",1,1.03274558106104,2.13095562113314,1.97648777398106,2.19031974467623,4.98972227041881,2.42519426907852,3.49879858935891,5.88000043359318,2.43465930626981
"Monomorium","M.madecassum",1,1.01365534336955,2.42658745854228,1.65670805184941,2.32040456195335,4.47081764625876,2.61484442916775,3.25034960514935,7.30255128636232,2.22373477262579
"Monomorium","M.madecassum",1,0.977949180667162,2.28900967277398,1.89199627750687,2.28804472492854,4.7551046092689,2.59749663278575,3.35763315596686,6.04933762603684,2.41693177330216
"Syllophopsis","S.hildebrandti01",1,0.915739705750753,2.23674628952326,2.04967711228797,2.09108022830879,3.6809003557529,1.95018775935906,4.06321136193603,2.42639677653888,1.70183243954991
"Syllophopsis","S.hildebrandti01",1,0.943720633391594,2.61400628257282,1.9416976237698,2.27097756419382,3.29009495713654,2.20209615152738,2.6056663765716,2.5536523308405,1.76215593667334
"Syllophopsis","S.hildebrandti01",1,0.928477136279425,2.33119382779634,1.751962216409,2.02085541155192,3.39308312894684,1.96772715397719,3.41697060907543,3.29627557379233,1.67694661387117
"Syllophopsis","S.hildebrandti01",1,1.09738851526106,2.44676087009127,1.89823006706654,2.263625507774,2.9370274317993,2.22452358847756,2.85317745583801,2.86024439397161,1.71231139685795
"Syllophopsis","S.hildebrandti01",1,1.0019140641207,2.7122800967003,1.73883860805856,2.16736092160355,3.3297551303837,2.11358411909738,2.61500580971369,2.67987790142474,1.69905863318447
"Syllophopsis","S.hildebrandti01",1,1.00523606035453,2.42318047399,1.76175827336689,2.23159437147899,3.55235714467119,2.11023188417415,2.87399999534028,2.72260943971625,1.70651064473352
"Syllophopsis","S.hildebrandti02",1,0.743287880363155,2.37663520486886,1.67449045265709,1.85366928177667,2.8925862245691,1.86305339055813,2.78759911336609,2.29730161758214,1.46119893785951
"Syllophopsis","S.hildebrandti02",1,0.749514300780616,1.88976553729697,1.60146661283222,1.82145581812182,2.85699216461403,1.7674678977155,2.2378759509172,2.56919626564934,1.45423187581295
"Syllophopsis","S.hildebrandti02",1,0.734038553119123,2.02830166949465,1.33799890420118,1.75159410103101,2.63479582396955,1.68864896839929,2.44864588538069,2.53622874545736,1.37751163287563
"Syllophopsis","S.hildebrandti02",1,0.776117384408353,1.98245143698688,1.57751897137813,1.92155399156868,2.80932037039674,1.85140172988397,2.5468517379667,2.39426601615907,1.40381504187767
